,date,cell_num,nr_people,hours,minutes
511304,2017-05-10,493-1264,24.0,2.0,15.0
511525,2017-05-10,493-1264,23.0,2.0,30.0
511746,2017-05-10,493-1264,23.0,2.0,45.0
511967,2017-05-10,493-1264,22.0,3.0,0.0
512188,2017-05-10,493-1264,22.0,3.0,15.0
512409,2017-05-10,493-1264,22.0,3.0,30.0
512630,2017-05-10,493-1264,22.0,3.0,45.0
512851,2017-05-10,493-1264,22.0,4.0,0.0
513072,2017-05-10,493-1264,22.0,4.0,15.0
513293,2017-05-10,493-1264,22.0,4.0,30.0
513514,2017-05-10,493-1264,22.0,4.0,45.0
513735,2017-05-10,493-1264,22.0,5.0,0.0
513956,2017-05-10,493-1264,22.0,5.0,15.0
514177,2017-05-10,493-1264,22.0,5.0,30.0
514398,2017-05-10,493-1264,23.0,5.0,45.0
514619,2017-05-10,493-1264,23.0,6.0,0.0
514840,2017-05-10,493-1264,22.0,6.0,15.0
515061,2017-05-10,493-1264,22.0,6.0,30.0
515282,2017-05-10,493-1264,22.0,6.0,45.0
515503,2017-05-10,493-1264,25.0,7.0,0.0
515724,2017-05-10,493-1264,28.0,7.0,15.0
515945,2017-05-10,493-1264,29.0,7.0,30.0
516166,2017-05-10,493-1264,29.0,7.0,45.0
516387,2017-05-10,493-1264,30.0,8.0,0.0
516608,2017-05-10,493-1264,31.0,8.0,15.0
516829,2017-05-10,493-1264,32.0,8.0,30.0
517050,2017-05-10,493-1264,33.0,8.0,45.0
517271,2017-05-10,493-1264,30.0,9.0,0.0
517492,2017-05-10,493-1264,30.0,9.0,15.0
517713,2017-05-10,493-1264,30.0,9.0,30.0
517934,2017-05-10,493-1264,31.0,9.0,45.0
518155,2017-05-10,493-1264,31.0,10.0,0.0
518376,2017-05-10,493-1264,32.0,10.0,15.0
518597,2017-05-10,493-1264,32.0,10.0,30.0
518818,2017-05-10,493-1264,31.0,10.0,45.0
519039,2017-05-10,493-1264,31.0,11.0,0.0
519260,2017-05-10,493-1264,32.0,11.0,15.0
519481,2017-05-10,493-1264,32.0,11.0,30.0
519702,2017-05-10,493-1264,32.0,11.0,45.0
519923,2017-05-10,493-1264,31.0,12.0,0.0
520144,2017-05-10,493-1264,30.0,12.0,15.0
520365,2017-05-10,493-1264,31.0,12.0,30.0
520586,2017-05-10,493-1264,30.0,12.0,45.0
520807,2017-05-10,493-1264,30.0,13.0,0.0
521028,2017-05-10,493-1264,30.0,13.0,15.0
521249,2017-05-10,493-1264,29.0,13.0,30.0
521470,2017-05-10,493-1264,29.0,13.0,45.0
521691,2017-05-10,493-1264,30.0,14.0,0.0
521912,2017-05-10,493-1264,32.0,14.0,15.0
522133,2017-05-10,493-1264,32.0,14.0,30.0
522354,2017-05-10,493-1264,32.0,14.0,45.0
522575,2017-05-10,493-1264,33.0,15.0,0.0
522796,2017-05-10,493-1264,34.0,15.0,15.0
523017,2017-05-10,493-1264,33.0,15.0,30.0
523238,2017-05-10,493-1264,33.0,15.0,45.0
523459,2017-05-10,493-1264,34.0,16.0,0.0
523680,2017-05-10,493-1264,35.0,16.0,15.0
523901,2017-05-10,493-1264,35.0,16.0,30.0
524122,2017-05-10,493-1264,37.0,16.0,45.0
524343,2017-05-10,493-1264,36.0,17.0,0.0
524564,2017-05-10,493-1264,37.0,17.0,15.0
524785,2017-05-10,493-1264,34.0,17.0,30.0
525006,2017-05-10,493-1264,37.0,17.0,45.0
525227,2017-05-10,493-1264,37.0,18.0,0.0
525448,2017-05-10,493-1264,39.0,18.0,15.0
525669,2017-05-10,493-1264,39.0,18.0,30.0
525890,2017-05-10,493-1264,37.0,18.0,45.0
526111,2017-05-10,493-1264,37.0,19.0,0.0
526332,2017-05-10,493-1264,37.0,19.0,15.0
526553,2017-05-10,493-1264,35.0,19.0,30.0
526774,2017-05-10,493-1264,35.0,19.0,45.0
526995,2017-05-10,493-1264,32.0,20.0,0.0
527216,2017-05-10,493-1264,31.0,20.0,15.0
527437,2017-05-10,493-1264,30.0,20.0,30.0
527658,2017-05-10,493-1264,30.0,20.0,45.0
527879,2017-05-10,493-1264,30.0,21.0,0.0
528100,2017-05-10,493-1264,30.0,21.0,15.0
528321,2017-05-10,493-1264,30.0,21.0,30.0
528542,2017-05-10,493-1264,28.0,21.0,45.0
528763,2017-05-10,493-1264,28.0,22.0,0.0
528984,2017-05-10,493-1264,27.0,22.0,15.0
529205,2017-05-10,493-1264,27.0,22.0,30.0
529426,2017-05-10,493-1264,27.0,22.0,45.0
529647,2017-05-10,493-1264,27.0,23.0,0.0
529868,2017-05-10,493-1264,27.0,23.0,15.0
530089,2017-05-10,493-1264,27.0,23.0,30.0
530310,2017-05-10,493-1264,27.0,23.0,45.0
530531,2017-05-11,493-1264,26.0,0.0,0.0
530752,2017-05-11,493-1264,25.0,0.0,15.0
530973,2017-05-11,493-1264,25.0,0.0,30.0
531194,2017-05-11,493-1264,25.0,0.0,45.0
531415,2017-05-11,493-1264,25.0,1.0,0.0
531636,2017-05-11,493-1264,25.0,1.0,15.0
531857,2017-05-11,493-1264,25.0,1.0,30.0
532078,2017-05-11,493-1264,24.0,1.0,45.0
532299,2017-05-11,493-1264,24.0,2.0,0.0
532520,2017-05-11,493-1264,24.0,2.0,15.0
532741,2017-05-11,493-1264,23.0,2.0,30.0
532962,2017-05-11,493-1264,23.0,2.0,45.0
533183,2017-05-11,493-1264,22.0,3.0,0.0
533404,2017-05-11,493-1264,22.0,3.0,15.0
533625,2017-05-11,493-1264,22.0,3.0,30.0
533846,2017-05-11,493-1264,22.0,3.0,45.0
534067,2017-05-11,493-1264,22.0,4.0,0.0
534288,2017-05-11,493-1264,22.0,4.0,15.0
534509,2017-05-11,493-1264,22.0,4.0,30.0
534730,2017-05-11,493-1264,22.0,4.0,45.0
534951,2017-05-11,493-1264,23.0,5.0,0.0
535172,2017-05-11,493-1264,23.0,5.0,15.0
535393,2017-05-11,493-1264,23.0,5.0,30.0
535614,2017-05-11,493-1264,22.0,5.0,45.0
535835,2017-05-11,493-1264,22.0,6.0,0.0
536056,2017-05-11,493-1264,22.0,6.0,15.0
536277,2017-05-11,493-1264,22.0,6.0,30.0
536498,2017-05-11,493-1264,22.0,6.0,45.0
536719,2017-05-11,493-1264,24.0,7.0,0.0
536940,2017-05-11,493-1264,27.0,7.0,15.0
537161,2017-05-11,493-1264,27.0,7.0,30.0
537382,2017-05-11,493-1264,27.0,7.0,45.0
537603,2017-05-11,493-1264,31.0,8.0,0.0
537824,2017-05-11,493-1264,32.0,8.0,15.0
538045,2017-05-11,493-1264,33.0,8.0,30.0
538266,2017-05-11,493-1264,33.0,8.0,45.0
538487,2017-05-11,493-1264,32.0,9.0,0.0
538708,2017-05-11,493-1264,33.0,9.0,15.0
538929,2017-05-11,493-1264,32.0,9.0,30.0
539150,2017-05-11,493-1264,32.0,9.0,45.0
539371,2017-05-11,493-1264,32.0,10.0,0.0
539592,2017-05-11,493-1264,31.0,10.0,15.0
539813,2017-05-11,493-1264,32.0,10.0,30.0
540034,2017-05-11,493-1264,32.0,10.0,45.0
540255,2017-05-11,493-1264,32.0,11.0,0.0
540476,2017-05-11,493-1264,31.0,11.0,15.0
540697,2017-05-11,493-1264,31.0,11.0,30.0
540918,2017-05-11,493-1264,32.0,11.0,45.0
541139,2017-05-11,493-1264,32.0,12.0,0.0
541360,2017-05-11,493-1264,32.0,12.0,15.0
541581,2017-05-11,493-1264,32.0,12.0,30.0
541802,2017-05-11,493-1264,32.0,12.0,45.0
542023,2017-05-11,493-1264,31.0,13.0,0.0
542244,2017-05-11,493-1264,31.0,13.0,15.0
542465,2017-05-11,493-1264,33.0,13.0,30.0
542686,2017-05-11,493-1264,33.0,13.0,45.0
542907,2017-05-11,493-1264,33.0,14.0,0.0
543128,2017-05-11,493-1264,32.0,14.0,15.0
543349,2017-05-11,493-1264,33.0,14.0,30.0
543570,2017-05-11,493-1264,34.0,14.0,45.0
543791,2017-05-11,493-1264,34.0,15.0,0.0
544012,2017-05-11,493-1264,34.0,15.0,15.0
544233,2017-05-11,493-1264,36.0,15.0,30.0
544454,2017-05-11,493-1264,37.0,15.0,45.0
544675,2017-05-11,493-1264,37.0,16.0,0.0
544896,2017-05-11,493-1264,37.0,16.0,15.0
545117,2017-05-11,493-1264,35.0,16.0,30.0
545338,2017-05-11,493-1264,35.0,16.0,45.0
545559,2017-05-11,493-1264,36.0,17.0,0.0
545780,2017-05-11,493-1264,36.0,17.0,15.0
546001,2017-05-11,493-1264,37.0,17.0,30.0
546222,2017-05-11,493-1264,37.0,17.0,45.0
546443,2017-05-11,493-1264,36.0,18.0,0.0
546664,2017-05-11,493-1264,39.0,18.0,15.0
546885,2017-05-11,493-1264,38.0,18.0,30.0
547106,2017-05-11,493-1264,36.0,18.0,45.0
547327,2017-05-11,493-1264,36.0,19.0,0.0
547548,2017-05-11,493-1264,35.0,19.0,15.0
547769,2017-05-11,493-1264,35.0,19.0,30.0
547990,2017-05-11,493-1264,35.0,19.0,45.0
548211,2017-05-11,493-1264,33.0,20.0,0.0
548432,2017-05-11,493-1264,32.0,20.0,15.0
548653,2017-05-11,493-1264,32.0,20.0,30.0
548874,2017-05-11,493-1264,31.0,20.0,45.0
549095,2017-05-11,493-1264,31.0,21.0,0.0
549316,2017-05-11,493-1264,29.0,21.0,15.0
549537,2017-05-11,493-1264,29.0,21.0,30.0
549758,2017-05-11,493-1264,29.0,21.0,45.0
549979,2017-05-11,493-1264,29.0,22.0,0.0
550200,2017-05-11,493-1264,29.0,22.0,15.0
550421,2017-05-11,493-1264,27.0,22.0,30.0
550642,2017-05-11,493-1264,26.0,22.0,45.0
550863,2017-05-11,493-1264,26.0,23.0,0.0
551084,2017-05-11,493-1264,26.0,23.0,15.0
551305,2017-05-11,493-1264,26.0,23.0,30.0
551526,2017-05-11,493-1264,27.0,23.0,45.0
551747,2017-05-12,493-1264,27.0,0.0,0.0
551968,2017-05-12,493-1264,26.0,0.0,15.0
552189,2017-05-12,493-1264,25.0,0.0,30.0
552410,2017-05-12,493-1264,25.0,0.0,45.0
552631,2017-05-12,493-1264,24.0,1.0,0.0
552852,2017-05-12,493-1264,24.0,1.0,15.0
553073,2017-05-12,493-1264,24.0,1.0,30.0
553294,2017-05-12,493-1264,23.0,1.0,45.0
553515,2017-05-12,493-1264,23.0,2.0,0.0
553736,2017-05-12,493-1264,23.0,2.0,15.0
553957,2017-05-12,493-1264,22.0,2.0,30.0
554178,2017-05-12,493-1264,22.0,2.0,45.0
554399,2017-05-12,493-1264,22.0,3.0,0.0
554620,2017-05-12,493-1264,22.0,3.0,15.0
554841,2017-05-12,493-1264,22.0,3.0,30.0
555062,2017-05-12,493-1264,21.0,3.0,45.0
555283,2017-05-12,493-1264,21.0,4.0,0.0
555504,2017-05-12,493-1264,21.0,4.0,15.0
555725,2017-05-12,493-1264,21.0,4.0,30.0
555946,2017-05-12,493-1264,22.0,4.0,45.0
556167,2017-05-12,493-1264,22.0,5.0,0.0
556388,2017-05-12,493-1264,22.0,5.0,15.0
556609,2017-05-12,493-1264,22.0,5.0,30.0
556830,2017-05-12,493-1264,22.0,5.0,45.0
557051,2017-05-12,493-1264,22.0,6.0,0.0
557272,2017-05-12,493-1264,22.0,6.0,15.0
557493,2017-05-12,493-1264,22.0,6.0,30.0
557714,2017-05-12,493-1264,23.0,6.0,45.0
557935,2017-05-12,493-1264,23.0,7.0,0.0
558156,2017-05-12,493-1264,24.0,7.0,15.0
558377,2017-05-12,493-1264,26.0,7.0,30.0
558598,2017-05-12,493-1264,26.0,7.0,45.0
558819,2017-05-12,493-1264,27.0,8.0,0.0
559040,2017-05-12,493-1264,28.0,8.0,15.0
559261,2017-05-12,493-1264,28.0,8.0,30.0
559482,2017-05-12,493-1264,29.0,8.0,45.0
559703,2017-05-12,493-1264,30.0,9.0,0.0
559924,2017-05-12,493-1264,30.0,9.0,15.0
560145,2017-05-12,493-1264,29.0,9.0,30.0
560366,2017-05-12,493-1264,30.0,9.0,45.0
560587,2017-05-12,493-1264,29.0,10.0,0.0
560808,2017-05-12,493-1264,31.0,10.0,15.0
561029,2017-05-12,493-1264,32.0,10.0,30.0
561250,2017-05-12,493-1264,30.0,10.0,45.0
561471,2017-05-12,493-1264,30.0,11.0,0.0
561692,2017-05-12,493-1264,30.0,11.0,15.0
561913,2017-05-12,493-1264,30.0,11.0,30.0
562134,2017-05-12,493-1264,30.0,11.0,45.0
562355,2017-05-12,493-1264,31.0,12.0,0.0
562576,2017-05-12,493-1264,31.0,12.0,15.0
562797,2017-05-12,493-1264,32.0,12.0,30.0
563018,2017-05-12,493-1264,31.0,12.0,45.0
563239,2017-05-12,493-1264,31.0,13.0,0.0
563460,2017-05-12,493-1264,31.0,13.0,15.0
563681,2017-05-12,493-1264,30.0,13.0,30.0
563902,2017-05-12,493-1264,32.0,13.0,45.0
564123,2017-05-12,493-1264,32.0,14.0,0.0
564344,2017-05-12,493-1264,32.0,14.0,15.0
564565,2017-05-12,493-1264,32.0,14.0,30.0
564786,2017-05-12,493-1264,34.0,14.0,45.0
565007,2017-05-12,493-1264,33.0,15.0,0.0
565228,2017-05-12,493-1264,34.0,15.0,15.0
565449,2017-05-12,493-1264,35.0,15.0,30.0
565670,2017-05-12,493-1264,37.0,15.0,45.0
565891,2017-05-12,493-1264,37.0,16.0,0.0
566112,2017-05-12,493-1264,36.0,16.0,15.0
566333,2017-05-12,493-1264,36.0,16.0,30.0
566554,2017-05-12,493-1264,37.0,16.0,45.0
566775,2017-05-12,493-1264,37.0,17.0,0.0
566996,2017-05-12,493-1264,37.0,17.0,15.0
567217,2017-05-12,493-1264,38.0,17.0,30.0
567438,2017-05-12,493-1264,40.0,17.0,45.0
567659,2017-05-12,493-1264,39.0,18.0,0.0
567880,2017-05-12,493-1264,37.0,18.0,15.0
568101,2017-05-12,493-1264,39.0,18.0,30.0
568322,2017-05-12,493-1264,39.0,18.0,45.0
568543,2017-05-12,493-1264,38.0,19.0,0.0
568764,2017-05-12,493-1264,39.0,19.0,15.0
568985,2017-05-12,493-1264,39.0,19.0,30.0
569206,2017-05-12,493-1264,40.0,19.0,45.0
569427,2017-05-12,493-1264,38.0,20.0,0.0
569648,2017-05-12,493-1264,38.0,20.0,15.0
569869,2017-05-12,493-1264,35.0,20.0,30.0
570090,2017-05-12,493-1264,34.0,20.0,45.0
570311,2017-05-12,493-1264,33.0,21.0,0.0
570532,2017-05-12,493-1264,33.0,21.0,15.0
570753,2017-05-12,493-1264,30.0,21.0,30.0
570974,2017-05-12,493-1264,30.0,21.0,45.0
571195,2017-05-12,493-1264,30.0,22.0,0.0
571416,2017-05-12,493-1264,29.0,22.0,15.0
571637,2017-05-12,493-1264,29.0,22.0,30.0
571858,2017-05-12,493-1264,28.0,22.0,45.0
572079,2017-05-12,493-1264,28.0,23.0,0.0
572300,2017-05-12,493-1264,29.0,23.0,15.0
572521,2017-05-12,493-1264,29.0,23.0,30.0
572742,2017-05-12,493-1264,28.0,23.0,45.0
572963,2017-05-13,493-1264,28.0,0.0,0.0
573184,2017-05-13,493-1264,27.0,0.0,15.0
573405,2017-05-13,493-1264,26.0,0.0,30.0
573626,2017-05-13,493-1264,26.0,0.0,45.0
573847,2017-05-13,493-1264,26.0,1.0,0.0
574068,2017-05-13,493-1264,25.0,1.0,15.0
574289,2017-05-13,493-1264,24.0,1.0,30.0
574510,2017-05-13,493-1264,24.0,1.0,45.0
574731,2017-05-13,493-1264,24.0,2.0,0.0
574952,2017-05-13,493-1264,24.0,2.0,15.0
575173,2017-05-13,493-1264,23.0,2.0,30.0
575394,2017-05-13,493-1264,22.0,2.0,45.0
575615,2017-05-13,493-1264,22.0,3.0,0.0
575836,2017-05-13,493-1264,22.0,3.0,15.0
576057,2017-05-13,493-1264,22.0,3.0,30.0
576278,2017-05-13,493-1264,22.0,3.0,45.0
576499,2017-05-13,493-1264,21.0,4.0,0.0
576720,2017-05-13,493-1264,22.0,4.0,15.0
576941,2017-05-13,493-1264,22.0,4.0,30.0
577162,2017-05-13,493-1264,22.0,4.0,45.0
577383,2017-05-13,493-1264,22.0,5.0,0.0
577604,2017-05-13,493-1264,22.0,5.0,15.0
577825,2017-05-13,493-1264,22.0,5.0,30.0
578046,2017-05-13,493-1264,22.0,5.0,45.0
578267,2017-05-13,493-1264,22.0,6.0,0.0
578488,2017-05-13,493-1264,21.0,6.0,15.0
578709,2017-05-13,493-1264,21.0,6.0,30.0
578930,2017-05-13,493-1264,21.0,6.0,45.0
579151,2017-05-13,493-1264,21.0,7.0,0.0
579372,2017-05-13,493-1264,21.0,7.0,15.0
579593,2017-05-13,493-1264,21.0,7.0,30.0
579814,2017-05-13,493-1264,22.0,7.0,45.0
580035,2017-05-13,493-1264,22.0,8.0,0.0
580256,2017-05-13,493-1264,22.0,8.0,15.0
580477,2017-05-13,493-1264,22.0,8.0,30.0
580698,2017-05-13,493-1264,23.0,8.0,45.0
580919,2017-05-13,493-1264,23.0,9.0,0.0
581140,2017-05-13,493-1264,24.0,9.0,15.0
581361,2017-05-13,493-1264,24.0,9.0,30.0
581582,2017-05-13,493-1264,23.0,9.0,45.0
581803,2017-05-13,493-1264,25.0,10.0,0.0
582024,2017-05-13,493-1264,26.0,10.0,15.0
582245,2017-05-13,493-1264,26.0,10.0,30.0
582466,2017-05-13,493-1264,25.0,10.0,45.0
582687,2017-05-13,493-1264,24.0,11.0,0.0
582908,2017-05-13,493-1264,25.0,11.0,15.0
583129,2017-05-13,493-1264,26.0,11.0,30.0
583350,2017-05-13,493-1264,26.0,11.0,45.0
583571,2017-05-13,493-1264,27.0,12.0,0.0
583792,2017-05-13,493-1264,26.0,12.0,15.0
584013,2017-05-13,493-1264,28.0,12.0,30.0
584234,2017-05-13,493-1264,29.0,12.0,45.0
584455,2017-05-13,493-1264,29.0,13.0,0.0
584676,2017-05-13,493-1264,28.0,13.0,15.0
584897,2017-05-13,493-1264,29.0,13.0,30.0
585118,2017-05-13,493-1264,29.0,13.0,45.0
585339,2017-05-13,493-1264,28.0,14.0,0.0
585560,2017-05-13,493-1264,29.0,14.0,15.0
585781,2017-05-13,493-1264,30.0,14.0,30.0
586002,2017-05-13,493-1264,29.0,14.0,45.0
586223,2017-05-13,493-1264,30.0,15.0,0.0
586444,2017-05-13,493-1264,31.0,15.0,15.0
586665,2017-05-13,493-1264,30.0,15.0,30.0
586886,2017-05-13,493-1264,30.0,15.0,45.0
587107,2017-05-13,493-1264,29.0,16.0,0.0
587328,2017-05-13,493-1264,31.0,16.0,15.0
587549,2017-05-13,493-1264,31.0,16.0,30.0
587770,2017-05-13,493-1264,31.0,16.0,45.0
587991,2017-05-13,493-1264,31.0,17.0,0.0
588212,2017-05-13,493-1264,31.0,17.0,15.0
588433,2017-05-13,493-1264,31.0,17.0,30.0
588654,2017-05-13,493-1264,31.0,17.0,45.0
588875,2017-05-13,493-1264,30.0,18.0,0.0
589096,2017-05-13,493-1264,31.0,18.0,15.0
589317,2017-05-13,493-1264,31.0,18.0,30.0
589538,2017-05-13,493-1264,30.0,18.0,45.0
589759,2017-05-13,493-1264,30.0,19.0,0.0
589980,2017-05-13,493-1264,30.0,19.0,15.0
590201,2017-05-13,493-1264,29.0,19.0,30.0
590422,2017-05-13,493-1264,30.0,19.0,45.0
590643,2017-05-13,493-1264,32.0,20.0,0.0
590864,2017-05-13,493-1264,32.0,20.0,15.0
591085,2017-05-13,493-1264,32.0,20.0,30.0
591306,2017-05-13,493-1264,29.0,20.0,45.0
591527,2017-05-13,493-1264,28.0,21.0,0.0
591748,2017-05-13,493-1264,28.0,21.0,15.0
591969,2017-05-13,493-1264,27.0,21.0,30.0
592190,2017-05-13,493-1264,27.0,21.0,45.0
592411,2017-05-13,493-1264,27.0,22.0,0.0
592632,2017-05-13,493-1264,26.0,22.0,15.0
592853,2017-05-13,493-1264,25.0,22.0,30.0
593074,2017-05-13,493-1264,26.0,22.0,45.0
593295,2017-05-13,493-1264,26.0,23.0,0.0
593516,2017-05-13,493-1264,26.0,23.0,15.0
593737,2017-05-13,493-1264,26.0,23.0,30.0
593958,2017-05-13,493-1264,26.0,23.0,45.0
594179,2017-05-14,493-1264,26.0,0.0,0.0
594400,2017-05-14,493-1264,25.0,0.0,15.0
594621,2017-05-14,493-1264,25.0,0.0,30.0
594842,2017-05-14,493-1264,24.0,0.0,45.0
595063,2017-05-14,493-1264,24.0,1.0,0.0
595284,2017-05-14,493-1264,23.0,1.0,15.0
595505,2017-05-14,493-1264,23.0,1.0,30.0
595726,2017-05-14,493-1264,23.0,1.0,45.0
595947,2017-05-14,493-1264,23.0,2.0,0.0
596168,2017-05-14,493-1264,23.0,2.0,15.0
596389,2017-05-14,493-1264,22.0,2.0,30.0
596610,2017-05-14,493-1264,22.0,2.0,45.0
596831,2017-05-14,493-1264,21.0,3.0,0.0
597052,2017-05-14,493-1264,20.0,3.0,15.0
597273,2017-05-14,493-1264,20.0,3.0,30.0
597494,2017-05-14,493-1264,20.0,3.0,45.0
597715,2017-05-14,493-1264,20.0,4.0,0.0
597936,2017-05-14,493-1264,19.0,4.0,15.0
598157,2017-05-14,493-1264,19.0,4.0,30.0
598378,2017-05-14,493-1264,19.0,4.0,45.0
598599,2017-05-14,493-1264,20.0,5.0,0.0
598820,2017-05-14,493-1264,20.0,5.0,15.0
599041,2017-05-14,493-1264,20.0,5.0,30.0
599262,2017-05-14,493-1264,20.0,5.0,45.0
599483,2017-05-14,493-1264,20.0,6.0,0.0
599704,2017-05-14,493-1264,19.0,6.0,15.0
599925,2017-05-14,493-1264,19.0,6.0,30.0
600146,2017-05-14,493-1264,19.0,6.0,45.0
600367,2017-05-14,493-1264,18.0,7.0,0.0
600588,2017-05-14,493-1264,18.0,7.0,15.0
600809,2017-05-14,493-1264,18.0,7.0,30.0
601030,2017-05-14,493-1264,18.0,7.0,45.0
601251,2017-05-14,493-1264,18.0,8.0,0.0
601472,2017-05-14,493-1264,19.0,8.0,15.0
601693,2017-05-14,493-1264,19.0,8.0,30.0
601914,2017-05-14,493-1264,20.0,8.0,45.0
602135,2017-05-14,493-1264,20.0,9.0,0.0
602356,2017-05-14,493-1264,20.0,9.0,15.0
602577,2017-05-14,493-1264,21.0,9.0,30.0
602798,2017-05-14,493-1264,21.0,9.0,45.0
603019,2017-05-14,493-1264,22.0,10.0,0.0
603240,2017-05-14,493-1264,22.0,10.0,15.0
603461,2017-05-14,493-1264,23.0,10.0,30.0
603682,2017-05-14,493-1264,23.0,10.0,45.0
603903,2017-05-14,493-1264,23.0,11.0,0.0
604124,2017-05-14,493-1264,24.0,11.0,15.0
604345,2017-05-14,493-1264,24.0,11.0,30.0
604566,2017-05-14,493-1264,24.0,11.0,45.0
604787,2017-05-14,493-1264,24.0,12.0,0.0
605008,2017-05-14,493-1264,24.0,12.0,15.0
605229,2017-05-14,493-1264,25.0,12.0,30.0
605450,2017-05-14,493-1264,25.0,12.0,45.0
605671,2017-05-14,493-1264,25.0,13.0,0.0
605892,2017-05-14,493-1264,24.0,13.0,15.0
606113,2017-05-14,493-1264,25.0,13.0,30.0
606334,2017-05-14,493-1264,25.0,13.0,45.0
606555,2017-05-14,493-1264,25.0,14.0,0.0
606776,2017-05-14,493-1264,25.0,14.0,15.0
606997,2017-05-14,493-1264,25.0,14.0,30.0
607218,2017-05-14,493-1264,25.0,14.0,45.0
607439,2017-05-14,493-1264,25.0,15.0,0.0
607660,2017-05-14,493-1264,25.0,15.0,15.0
607881,2017-05-14,493-1264,26.0,15.0,30.0
608102,2017-05-14,493-1264,27.0,15.0,45.0
608323,2017-05-14,493-1264,29.0,16.0,0.0
608544,2017-05-14,493-1264,29.0,16.0,15.0
608765,2017-05-14,493-1264,30.0,16.0,30.0
608986,2017-05-14,493-1264,32.0,16.0,45.0
609207,2017-05-14,493-1264,31.0,17.0,0.0
609428,2017-05-14,493-1264,30.0,17.0,15.0
609649,2017-05-14,493-1264,32.0,17.0,30.0
609870,2017-05-14,493-1264,32.0,17.0,45.0
610091,2017-05-14,493-1264,33.0,18.0,0.0
610312,2017-05-14,493-1264,33.0,18.0,15.0
610533,2017-05-14,493-1264,33.0,18.0,30.0
610754,2017-05-14,493-1264,32.0,18.0,45.0
610975,2017-05-14,493-1264,32.0,19.0,0.0
611196,2017-05-14,493-1264,32.0,19.0,15.0
611417,2017-05-14,493-1264,32.0,19.0,30.0
611638,2017-05-14,493-1264,32.0,19.0,45.0
611859,2017-05-14,493-1264,31.0,20.0,0.0
612080,2017-05-14,493-1264,30.0,20.0,15.0
612301,2017-05-14,493-1264,30.0,20.0,30.0
612522,2017-05-14,493-1264,28.0,20.0,45.0
612743,2017-05-14,493-1264,29.0,21.0,0.0
612964,2017-05-14,493-1264,28.0,21.0,15.0
613185,2017-05-14,493-1264,29.0,21.0,30.0
613406,2017-05-14,493-1264,28.0,21.0,45.0
613627,2017-05-14,493-1264,27.0,22.0,0.0
613848,2017-05-14,493-1264,27.0,22.0,15.0
614069,2017-05-14,493-1264,26.0,22.0,30.0
614290,2017-05-14,493-1264,25.0,22.0,45.0
614511,2017-05-14,493-1264,25.0,23.0,0.0
614732,2017-05-14,493-1264,25.0,23.0,15.0
614953,2017-05-14,493-1264,25.0,23.0,30.0
615174,2017-05-14,493-1264,24.0,23.0,45.0
615395,2017-05-15,493-1264,24.0,0.0,0.0
615616,2017-05-15,493-1264,23.0,0.0,15.0
615837,2017-05-15,493-1264,23.0,0.0,30.0
616058,2017-05-15,493-1264,23.0,0.0,45.0
616279,2017-05-15,493-1264,22.0,1.0,0.0
616500,2017-05-15,493-1264,21.0,1.0,15.0
616721,2017-05-15,493-1264,21.0,1.0,30.0
616942,2017-05-15,493-1264,21.0,1.0,45.0
617163,2017-05-15,493-1264,21.0,2.0,0.0
617384,2017-05-15,493-1264,20.0,2.0,15.0
617605,2017-05-15,493-1264,20.0,2.0,30.0
617826,2017-05-15,493-1264,20.0,2.0,45.0
618047,2017-05-15,493-1264,20.0,3.0,0.0
618268,2017-05-15,493-1264,20.0,3.0,15.0
618489,2017-05-15,493-1264,20.0,3.0,30.0
618710,2017-05-15,493-1264,20.0,3.0,45.0
618931,2017-05-15,493-1264,20.0,4.0,0.0
619152,2017-05-15,493-1264,18.0,4.0,15.0
619373,2017-05-15,493-1264,18.0,4.0,30.0
619594,2017-05-15,493-1264,19.0,4.0,45.0
619815,2017-05-15,493-1264,19.0,5.0,0.0
620036,2017-05-15,493-1264,20.0,5.0,15.0
620257,2017-05-15,493-1264,20.0,5.0,30.0
620478,2017-05-15,493-1264,20.0,5.0,45.0
620699,2017-05-15,493-1264,19.0,6.0,0.0
620920,2017-05-15,493-1264,19.0,6.0,15.0
621141,2017-05-15,493-1264,20.0,6.0,30.0
621362,2017-05-15,493-1264,20.0,6.0,45.0
621583,2017-05-15,493-1264,20.0,7.0,0.0
621804,2017-05-15,493-1264,20.0,7.0,15.0
622025,2017-05-15,493-1264,20.0,7.0,30.0
622246,2017-05-15,493-1264,23.0,7.0,45.0
622467,2017-05-15,493-1264,26.0,8.0,0.0
622688,2017-05-15,493-1264,27.0,8.0,15.0
622909,2017-05-15,493-1264,25.0,8.0,30.0
623130,2017-05-15,493-1264,25.0,8.0,45.0
623351,2017-05-15,493-1264,27.0,9.0,0.0
623572,2017-05-15,493-1264,26.0,9.0,15.0
623793,2017-05-15,493-1264,26.0,9.0,30.0
624014,2017-05-15,493-1264,28.0,9.0,45.0
624235,2017-05-15,493-1264,28.0,10.0,0.0
624456,2017-05-15,493-1264,28.0,10.0,15.0
624677,2017-05-15,493-1264,28.0,10.0,30.0
624898,2017-05-15,493-1264,28.0,10.0,45.0
625119,2017-05-15,493-1264,29.0,11.0,0.0
625340,2017-05-15,493-1264,29.0,11.0,15.0
