,date,cell_num,nr_people,hours,minutes
22894,2017-04-17,493-1264,21.0,1.0,45.0
23115,2017-04-17,493-1264,20.0,2.0,0.0
23336,2017-04-17,493-1264,20.0,2.0,15.0
23557,2017-04-17,493-1264,20.0,2.0,30.0
23778,2017-04-17,493-1264,20.0,2.0,45.0
23999,2017-04-17,493-1264,20.0,3.0,0.0
24220,2017-04-17,493-1264,20.0,3.0,15.0
24441,2017-04-17,493-1264,20.0,3.0,30.0
24662,2017-04-17,493-1264,20.0,3.0,45.0
24883,2017-04-17,493-1264,19.0,4.0,0.0
25104,2017-04-17,493-1264,19.0,4.0,15.0
25325,2017-04-17,493-1264,19.0,4.0,30.0
25546,2017-04-17,493-1264,19.0,4.0,45.0
25767,2017-04-17,493-1264,19.0,5.0,0.0
25988,2017-04-17,493-1264,20.0,5.0,15.0
26209,2017-04-17,493-1264,20.0,5.0,30.0
26430,2017-04-17,493-1264,20.0,5.0,45.0
26651,2017-04-17,493-1264,20.0,6.0,0.0
26872,2017-04-17,493-1264,20.0,6.0,15.0
27093,2017-04-17,493-1264,20.0,6.0,30.0
27314,2017-04-17,493-1264,20.0,6.0,45.0
27535,2017-04-17,493-1264,19.0,7.0,0.0
27756,2017-04-17,493-1264,19.0,7.0,15.0
27977,2017-04-17,493-1264,19.0,7.0,30.0
28198,2017-04-17,493-1264,19.0,7.0,45.0
28419,2017-04-17,493-1264,19.0,8.0,0.0
28640,2017-04-17,493-1264,19.0,8.0,15.0
28861,2017-04-17,493-1264,20.0,8.0,30.0
29082,2017-04-17,493-1264,20.0,8.0,45.0
29303,2017-04-17,493-1264,20.0,9.0,0.0
29524,2017-04-17,493-1264,20.0,9.0,15.0
29745,2017-04-17,493-1264,20.0,9.0,30.0
29966,2017-04-17,493-1264,25.0,9.0,45.0
30187,2017-04-17,493-1264,26.0,10.0,0.0
30408,2017-04-17,493-1264,26.0,10.0,15.0
30629,2017-04-17,493-1264,26.0,10.0,30.0
30850,2017-04-17,493-1264,28.0,10.0,45.0
31071,2017-04-17,493-1264,28.0,11.0,0.0
31292,2017-04-17,493-1264,29.0,11.0,15.0
31513,2017-04-17,493-1264,28.0,11.0,30.0
31734,2017-04-17,493-1264,28.0,11.0,45.0
31955,2017-04-17,493-1264,28.0,12.0,0.0
32176,2017-04-17,493-1264,27.0,12.0,15.0
32397,2017-04-17,493-1264,27.0,12.0,30.0
32618,2017-04-17,493-1264,28.0,12.0,45.0
32839,2017-04-17,493-1264,28.0,13.0,0.0
33060,2017-04-17,493-1264,28.0,13.0,15.0
33281,2017-04-17,493-1264,29.0,13.0,30.0
33502,2017-04-17,493-1264,29.0,13.0,45.0
33723,2017-04-17,493-1264,29.0,14.0,0.0
33944,2017-04-17,493-1264,28.0,14.0,15.0
34165,2017-04-17,493-1264,28.0,14.0,30.0
34386,2017-04-17,493-1264,28.0,14.0,45.0
34607,2017-04-17,493-1264,29.0,15.0,0.0
34828,2017-04-17,493-1264,30.0,15.0,15.0
